name;title;category;blurb;hp;hpperlevel
Shyvana;a félvér sárkány;Fighter;Shyvana – a sárkány és ember egyesüléséből született félvér – egész életében tartozni szeretett volna valahová. Az üldöztetés azonban kegyetlen harcost faragott belőle, és aki Shyvana útjába mer állni, megtapasztalhatja a benne lakozó tüzes szörnyeteg ...;595;95
Singed;az őrült vegyész;Tank;Singed a nagyra becsült és jelentős múltra visszatekintő zauni kémikusok leszármazottja. Már fiatalkorában kitűnt társai közül a bájitalok készítése terén mutatott tehetségével, és hamar nevet szerzett magának átlagos képességű kémikus honfitársai ...;542,76;82
Sion;az élőholt gyilkológép;Tank;VÉR.ÉRZEM.AKAROM. SÓVÁRGOK. KELL!EGYRE KÖZELEBB. JÖNNEK.NINCS LÁNC? SZABADSÁG! ÖLNI!ELÉREM. IGEN! PUSZTULJ! PUSZTULJ!Vége. Túl gyorsan. Semmi küzdelem. Még. Még… többet akarok.Egy hang? Nem ...;542,64;73
Sivir;a viadal úrnője;Marksman;„Nem érdekel, kinek a képe van az érmén, amíg kifizetnek vele.”Sivir hírhedt szerencsevadász és zsoldosvezér, aki a shurimai sivatagban űzi a mesterségét. Legendás, ékkövekkel díszített, kereszt alakú pengéjével számtalan csatát vívott és ...;515,76;82
Skarner;a kristály élharcosa;Fighter;„Egyek vagyunk. Minket nem törhetnek meg.”Skarner, az óriási kristályskorpió Shurima egyik titkos völgyéből származik. Az ősi brackern faj tagjaiként Skarner és társai páratlan bölcsességükről híresek. Mélyen kötődnek a szülőföldjükhöz, mivel ...;601,28;90
Sona;a húrok virtuóza;Support;Sona nem emlékszik a valódi szüleire. Egy ioniai árvaház előtt találtak rá csecsemőként, egy ősi, ismeretlen eredetű hangszer gyönyörű tokján. Sona gyermekként rendkívül jól viselkedett, mindig csöndes és boldog volt. Gondozói biztosra vették, hogy ...;482,36;77
Soraka;a csillaggyermek;Support;A csillagok varázserejével megáldott gyógyító, Soraka, minden élőlény sorsát a szívén viseli. Valaha égi teremtmény volt, de feláldozta halhatatlanságát, és belépett a halandók világába. Amíg a gonosz a valoraniak életét fenyegeti, Soraka nem lel ...;529,04;78
Swain;a mesteri taktikus;Mage;Swain létezésének első bizonyítéka egy noxusi gyengélkedő egyik orvosának a bejegyzése. A feljegyzések szerint Swain egyetlen jajszó nélkül bicegett be a kórterembe. Jobb lába ketté volt törve, csontja kiállt a bőr alól. Egy apró, mogorva madár ült a ...;516,04;90
Syndra;a sötét fejedelem;Mage;A születése óta hatalmas varázspotenciállal bíró Syndra azt szereti a legjobban, ha kihasználhatja a rendelkezésére álló erőt. Varázsereje napról napra egyre hatékonyabbá és pusztítóbbá válik. Syndra egyetlen célja, hogy uralja a benne rejlő erőt, az ...;511,04;78
Tahm Kench;a folyó királya;Support;„A világ egy nagy folyó, és én vagyok a királya.”Tahm Kench Runaterra vizeit járva keresi a gyanútlan áldozatokat, akiknek bánatával csillapíthatja telhetetlen étvágyát. Az egyedülállóan elbűvölő modorú ínyenc az áldozat szenvedésének minden ...;610;95
Taliyah;a sziklaszövő;Mage;Taliyah egy shurimai nomád mágus, aki energetikus lelkesedésével és a puszta akaratával képes az irányítása alá vonni a föld erejét. A tinédzserkor csodái és a felnőttkor felelősségei között őrlődve Taliyah Valoran szinte minden szegletében megfordult ...;520;75
Talon;a penge árnyéka;Assassin;„Valoran három leghalálosabb pengeforgatója mind a Du Couteau házhoz kötődik: édesapám, jómagam és Talon. Állj ki ellenünk, ha mersz!”-- Katarina Du CouteauTalon legkorábbi emlékeiben Noxus földalatti járatainak sötétje és az ...;583;90
Taric;Valoran pajzsa;Support;„A legjobb fegyverek egyben gyönyörűek is.”Taric az Oltalmazó megtestesülése, aki hatalmas erő birtokában az élet, a szeretet és a szépség őre Runaterra-szerte. Taricot kötelességmulasztás miatt nyilvánosan megszégyenítették és száműzték ...;575;90
Teemo;a fürge felderítő;Marksman;Teemo élő legenda a yordle testvérei között, Bandlevárosban. A yordlék szerint Teemo furcsább az átlagosnál. Bár jól érzi magát más yordlék társaságában, mégis ragaszkodik hozzá, hogy rendszeresen önálló küldetéseket hajtson végre Bandleváros védelme ...;515,76;82
Thresh;a láncok őre;Support;„Az elme csodálatos dolog… csodálatos érzés széttépni.”A szadista és ravasz Thresh egy nyughatatlan szellem, aki örömét leli a halandók kínzásában, és rendkívül találékony, lassú és fájdalmas módszerekkel töri meg őket. Az áldozatok ...;560,52;93
Tristana;a yordle tüzér;Marksman;Nem a méret számít – ki is lehetne jobb példa erre, mint ez az apró, yordle mesterlövész. Ezekben a vészterhes időkben Tristanának meg sem fordul a fejében, hogy bármilyen kihívást visszautasítson. Ő a harcedzettség, a rendíthetetlen bátorság és a ...;542,76;82
Trundle;a Troll király;Fighter;Trundle egy nagydarab, fondorlatos troll, aki mindig rosszban sántikál. Nincs semmi, amit a puszta erejével ne tudna behódolásra késztetni, és az akaratának semmi nem állhat ellen, még maga a jég sem. Súlyos jégbunkójával a vért is megfagyasztja az ...;616,28;96
Tryndamere;a barbárvezér;Fighter;Tryndamere féktelen haragjától és dühétől hajtva vág magának utat a tundrán, és Freljord legnagyobb harcosait párbajra hívva emeli mesteri szintre harcművészetét. A bősz barbár bosszút esküdött az idegen ellen, aki megtizedelte klánját, és jaj azoknak,...;625,64;98
Twisted Fate;a hamiskártyás;Mage;Twisted Fate, a hírhedt hamiskártyás és csaló bejárta az ismert világ jó részét, és mindenütt kivívta magának a gazdagok és az ostobák gyűlöletét vagy csodálatát. Ritkán vesz bármit is komolyan, és minden napot gúnyos mosollyal, nemtörődöm ...;521,76;82
Twitch;a pestispatkány;Marksman;K.A.P.T.Á.R. esetjelentésTörvényszegés típusa: ipari gyilkosságÜgy státusza: megoldatlanA nyomozást végző ügynök: Rol, P.Egy gyanús egyénről és bűnözői tevékenységről érkezett bejelentés nyomán az egység kivonult a csatornarendszer ...;525,08;81
Udyr;a lélekvándor;Fighter;Udyr több mint ember – négy ősi állatszellem zabolázatlan hatalma lakozik benne. És amikor segítségül hívja ezeket, mindegyik szellem vadállati természete más-más erővel ruházza fel: a tigris sebességgel és vadsággal, a teknős ellenálló képességgel, a ...;593,32;99
Urgot;a hóhér büszkesége;Marksman;Egyes harcosok nagysága erejükben, ravaszságukban vagy mesteri fegyverforgatásukban rejlik. Mások egyszerűen csak nem hajlandók meghalni. Urgot, Noxus egykori kiváló katonája az utóbbiak közé tartozik. Urgot általában szívvel-lélekkel belevetette ...;586,52;89
Varus;a megtorlás nyila;Marksman;„A nyíl röpke életét az irány és a szándék határozza meg.”Varus páratlan íjásztehetsége és feddhetetlensége miatt kapta meg egy szent ioniai templom őrzésének feladatát. A templom a romlás egyik ősi vermében rejlő aljasság kordában tartására ...;537,76;82
Vayne;az éji vadász;Marksman;A világ nem mindig annyira civilizált hely, mit amilyennek gondolnánk. Egyeseket, akik a varázslat legsötétebb útjait járják, megrontanak a Runaterrát átszövő sötét erők. Shauna Vayne nagyon is jól tudja ezt.A kiváltságos demaciai elitbe ...;498,44;83
Veigar;a gonoszság apró mestere;Mage;A legtöbben nem a félelmetes jelzőre asszociálnak, ha a yordle népről van szó. A könnyelmű, apró termetű, ám heves fajra általában bizonyos mértékű kedélyességgel tekintenek. Magas hangjuk és aranyos kinézetük egyfajta védelmező ösztönt hoz elő a ...;492,76;82
Vel'Koz;az Üresség szeme;Mage;Belépek a hirtelen támadt ragyogásba. Pislogok. Egyre csak pislogok. A szemem hozzászokik a fényhez, és felméri az előttem elterülő tájat.Valami gyors mozgolódást érzékelek. Ahogy lenézek, egy apró, fehér teremtményt látok – a hátsó lábán áll, ...;507,68;76
Vi;a piltoveri végrehajtó;Fighter;Vi számára a problémák csak egy újabb falat jelentenek, amit átüthet hatalmas hextech kesztyűjével. Bár az illegalitás világában nőtt fel, Vi most arra használja alvilági tudását, hogy Piltover rendőrségét szolgálja. Vi rámenős hozzáállása, nyers ...;582,8;85
Viktor;a géphírnök;Mage;Viktor már fiatalon rájött, hogy vonzódik a tudományhoz és a találmányokhoz, és ezen belül is leginkább a gépi automatizálás területéhez. Elvégezte a rendkívül elismert zauni Technomágiai Főiskolát, és ő vezette azt a csapatot, amely megalkotta ...;516,04;78
Vladimir;a karmazsin kaszás;Mage;A Noxus és a Viharsíkság között elterülő hegység egy templomot rejt, amely egy borzasztó, ősi mágia titkait őrzi. A templom körül szanaszét hevernek mindazok vértelen hullái, akik tévedésből túl közel merészkedtek. Ám ez csak felajzotta Vladimir ...;525;84
Volibear;a mennydörgés hangja;Fighter;Freljord könyörtelen északi vidéke az urszinok otthona. Ez a vad és harcias faj több ezer éve él a jeges tundrán. A vezetőjük egy ádáz harcos, aki a villám erejével csap le és félemlíti meg az ellenfeleit: Volibear. Az egyszerre harcos és sámán ...;584,48;86
Warwick;a vérvadász;Fighter;Warwicket valaha rendkívül nagy tiszteletben tartották, mert figyelemreméltóan volt képes emberi kísérleti alanyokat találni a legsötétebb tudományos kutatásokhoz. Amikor ambíciói túllépték teste fizikai határait, megivott egy veszélyes elixírt, amely ...;592,64;98
Xerath;az emelkedett mágus;Mage;„Egy életen át tartó rabszolgaság készített fel arra, hogy az örökkévalóságig feletted álljak.”Xerath az ősi Shurimai Birodalom egyik Felemelkedett mágusa. Lényét egy elvarázsolt szarkofág törött szilánkjai között tomboló, mágikus energia ...;514,4;80
Xin Zhao;Demacia udvarmestere;Fighter;„A halál elkerülhetetlen, csak a vereség elől lehet kitérni.”Valahányszor III. Jarvan, Demacia uralkodója buzdító beszédet tart a királyi palota csillogó márványerkélyéről, Xin Zhao mindig ott áll mellette. A Demaciai Udvarmesterré kinevezett ...;600;92
Yasuo;a kitaszított;Fighter;Yasuo maga a törhetetlen akarat. Egy mozgékony kardforgató, aki ellenfelei legyőzése érdekében magát a szelet is igába hajtja. Az egykor büszke harcost egy hamis vád szégyenítette meg – azóta élete a túlélésért folytatott, kétségbeesett harcról szól. ...;517,76;82
Yorick;a lelkek pásztora;Fighter;„Ezek a szigetek... Mennyi kín sikolt belőlük.”Yorick egy rég elfeledett rend utolsó tagja, akinek holtak feletti hatalma egyszerre áldás és átok. Az Árny-szigetek foglya, egyedüli társaságát a maga köré gyűjtött rothadó tetemek és sikoltozó ...;580;100
Zac;a titkos fegyver;Tank;Zac egy zauni kísérlet eredménye, amelynek célja a hexakémiailag megtervezett szuperharcos, a Zauni Amorf Katona megalkotása volt. Zac a nyers erő és a korlátlan rugalmasság ötvözete, egy sokoldalú buldózer: kreatív harcos, aki átugrik az akadályokon, ...;614,6;95
Zed;az árnyak nagyura;Assassin;Zed 200 éve az első nindzsa, aki az ősi, tiltott erők útjára lépett. Megtagadta klánját és mesterét, és elutasította az egyensúlyt és a fegyelmet, amelyek egész életében megbéklyózták. Zed most azok számára kínál hatalmat, akik nyitottak az árnyak ...;579,4;80
Ziggs;a hextikus robbantó;Mage;Ziggs született bütykölő volt, de kaotikus, hiperaktív természetével kilógott a yordle tudósok soraiból. Mindig is arra vágyott, hogy Heimerdingerhez hasonlóan ő is elismert feltaláló legyen. Mániákus eltökéltséggel vetette bele magát számos, sikerrel ...;524,4;80
Zilean;az idő őre;Support;Urtisztán pusztái régen egy hatalmas városnak adtak otthont. A város rég elpusztult egy szörnyű Rúnaháborúban, a Nagy-választóhegységtől délre eső területek nagy részével együtt. Egy ember azonban életben maradt közülük: Zilean, a varázsló. Mivel az ...;499,28;77
Zyra;a tövisek úrnője;Mage;A sorsának irányítására képtelen ősi, haldokló növény, Zyra átmenekítette tudatát egy emberi testbe, hogy még egy esélyt kapjon az életre. Évszázadokkal ezelőtt ő és a fajtája uralták a Kumungu-dzsungelt. Tüskéik és indáik elől egyetlen állat sem ...;499,32;74
